"symbol","date","open","high","low","close","volume","adjusted"
"NFLX",2017-05-10,157.820007,161.100006,156.559998,160.279999,6869900,160.279999
"NFLX",2017-05-11,160.330002,160.520004,157.550003,158.539993,5677400,158.539993
"NFLX",2017-05-12,159.110001,160.839996,158.509995,160.809998,5092900,160.809998
"NFLX",2017-05-15,160.25,161.779999,159.759995,160.020004,4972000,160.020004
"NFLX",2017-05-16,160.5,161.179993,159.330002,159.410004,3464900,159.410004
"NFLX",2017-05-17,158.089996,158.779999,153,153.199997,8184500,153.199997
"NFLX",2017-05-18,153.610001,156.889999,153.240005,155.699997,6802700,155.699997
"NFLX",2017-05-19,156.149994,158.050003,155.910004,157.020004,4091500,157.020004
"NFLX",2017-05-22,157.860001,158.600006,156.429993,157.160004,3744100,157.160004
"NFLX",2017-05-23,157.75,158.309998,156.800003,157.949997,3370900,157.949997
"NFLX",2017-05-24,158.350006,158.479996,157.169998,157.75,2970800,157.75
"NFLX",2017-05-25,161,164.100006,160.550003,163.050003,8561000,163.050003
"NFLX",2017-05-26,162.839996,163.050003,161.119995,162.429993,4834300,162.429993
"NFLX",2017-05-30,163.600006,164.75,162.710007,163.220001,4828600,163.220001
"NFLX",2017-05-31,163.610001,164,160.740005,163.070007,5328900,163.070007
"NFLX",2017-06-01,163.520004,163.929993,161.699997,162.990005,3896300,162.990005
"NFLX",2017-06-02,163.419998,165.360001,162.800003,165.179993,4259100,165.179993
"NFLX",2017-06-05,165.490005,165.5,163.429993,165.059998,3875200,165.059998
"NFLX",2017-06-06,164.949997,166.820007,164.509995,165.169998,4382100,165.169998
"NFLX",2017-06-07,165.600006,166.399994,164.410004,165.610001,3353100,165.610001
"NFLX",2017-06-08,166.119995,166.869995,164.839996,165.880005,3719100,165.880005
"NFLX",2017-06-09,166.270004,166.270004,154.5,158.029999,10292000,158.029999
"NFLX",2017-06-12,155.300003,155.529999,148.309998,151.440002,14114500,151.440002
"NFLX",2017-06-13,154.380005,155.679993,150.130005,152.720001,8484700,152.720001
"NFLX",2017-06-14,154.339996,155.619995,150.279999,152.199997,6461800,152.199997
"NFLX",2017-06-15,149.440002,152.559998,147.300003,151.759995,7319700,151.759995
"NFLX",2017-06-16,151.449997,153.529999,150.389999,152.380005,6909700,152.380005
"NFLX",2017-06-19,154.289993,155.580002,152.410004,153.399994,6544300,153.399994
"NFLX",2017-06-20,153.679993,154.5,151.399994,152.050003,4878700,152.050003
"NFLX",2017-06-21,152.5,155.380005,152.259995,155.029999,5803400,155.029999
"NFLX",2017-06-22,155.130005,155.199997,153.699997,154.889999,3769200,154.889999
"NFLX",2017-06-23,155.009995,158.190002,153.759995,158.020004,6250800,158.020004
"NFLX",2017-06-26,158.779999,159.970001,156.559998,157.5,6016000,157.5
"NFLX",2017-06-27,156.619995,156.979996,150.720001,151.029999,7424300,151.029999
"NFLX",2017-06-28,151.639999,154.199997,150.119995,153.410004,5589900,153.410004
"NFLX",2017-06-29,152.820007,152.820007,148,150.089996,7142500,150.089996
"NFLX",2017-06-30,149.759995,150.710007,148.419998,149.410004,5213300,149.410004
"NFLX",2017-07-03,149.800003,150.449997,145.800003,146.169998,3908200,146.169998
"NFLX",2017-07-05,146.580002,148.259995,145.580002,147.610001,4627800,147.610001
"NFLX",2017-07-06,146.130005,147.270004,144.25,146.25,5486500,146.25
"NFLX",2017-07-07,146.649994,150.75,146.649994,150.179993,5561300,150.179993
"NFLX",2017-07-10,150.339996,153.229996,149.649994,152.669998,5360600,152.669998
"NFLX",2017-07-11,152.369995,155.229996,151.550003,154.330002,4898600,154.330002
"NFLX",2017-07-12,155.770004,158.800003,155.770004,158.75,8481800,158.75
"NFLX",2017-07-13,158.509995,160.130005,156.979996,158.210007,6700100,158.210007
"NFLX",2017-07-14,159.300003,161.350006,157.970001,161.119995,5549200,161.119995
"NFLX",2017-07-17,162.910004,163.550003,160.020004,161.699997,17496700,161.699997
"NFLX",2017-07-18,176.119995,185,174.240005,183.600006,41587400,183.600006
"NFLX",2017-07-19,182.970001,187.169998,181.75,183.860001,17344300,183.860001
"NFLX",2017-07-20,183.839996,185.919998,182.699997,183.600006,7907200,183.600006
"NFLX",2017-07-21,182.720001,191.5,182.710007,188.539993,9277400,188.539993
"NFLX",2017-07-24,188.690002,190.25,187.009995,187.910004,8797300,187.910004
"NFLX",2017-07-25,187.789993,188.660004,185.809998,186.970001,5374500,186.970001
"NFLX",2017-07-26,187.699997,189.699997,187.509995,189.080002,4479300,189.080002
"NFLX",2017-07-27,189.889999,190,179.380005,182.679993,11221000,182.679993
"NFLX",2017-07-28,182,185.029999,181.179993,184.039993,6201900,184.039993
"NFLX",2017-07-31,184.259995,184.970001,180.649994,181.660004,4883600,181.660004
"NFLX",2017-08-01,182.490005,184.619995,181.429993,182.029999,5112700,182.029999
"NFLX",2017-08-02,182.220001,182.570007,177.809998,180.740005,5771300,180.740005
"NFLX",2017-08-03,180.529999,181.220001,178.020004,179.229996,4627700,179.229996
"NFLX",2017-08-04,179.600006,181,178.5,180.270004,4491100,180.270004
"NFLX",2017-08-07,181,182.270004,179.100006,181.330002,4609800,181.330002
"NFLX",2017-08-08,181.369995,181.910004,177.449997,178.360001,6104000,178.360001
"NFLX",2017-08-09,171.429993,175.960007,170.009995,175.779999,9670500,175.779999
"NFLX",2017-08-10,174.029999,174.449997,167.600006,169.139999,9693100,169.139999
"NFLX",2017-08-11,169.860001,172.580002,169,171.399994,5022300,171.399994
"NFLX",2017-08-14,169.800003,172.449997,168.800003,171,7468400,171
"NFLX",2017-08-15,171.529999,171.880005,168.25,168.5,5656100,168.5
"NFLX",2017-08-16,167.5,170.5,166.25,169.979996,7013600,169.979996
"NFLX",2017-08-17,169.229996,170.580002,165.720001,166.089996,5229200,166.089996
"NFLX",2017-08-18,165.949997,169.970001,165.800003,166.539993,7385700,166.539993
"NFLX",2017-08-21,166.910004,168.990005,164.229996,166.759995,6480700,166.759995
"NFLX",2017-08-22,167.759995,169.929993,167.039993,169.339996,4886300,169.339996
"NFLX",2017-08-23,168.350006,169.639999,166.699997,169.059998,4632300,169.059998
"NFLX",2017-08-24,169.860001,171.240005,166.149994,168.130005,5361700,168.130005
"NFLX",2017-08-25,168.580002,168.75,165.5,165.949997,4064000,165.949997
"NFLX",2017-08-28,166.429993,168.669998,165.600006,167.119995,3657300,167.119995
"NFLX",2017-08-29,165,169.679993,164.729996,168.809998,4620900,168.809998
"NFLX",2017-08-30,169.5,174.850006,169.369995,174.690002,8034700,174.690002
"NFLX",2017-08-31,175.449997,176.240005,173.860001,174.710007,6941000,174.710007
"NFLX",2017-09-01,175.550003,176.479996,173.919998,174.740005,3813000,174.740005
"NFLX",2017-09-05,173.399994,175.880005,172.440002,174.520004,4589500,174.520004
"NFLX",2017-09-06,175.25,179.460007,173.729996,179.25,8742600,179.25
"NFLX",2017-09-07,178.800003,180.350006,177.100006,179,6036100,179
"NFLX",2017-09-08,178.449997,180.389999,176.25,176.419998,4590800,176.419998
"NFLX",2017-09-11,178.100006,182.470001,178.029999,181.740005,5979400,181.740005
"NFLX",2017-09-12,182.550003,185.330002,180.639999,185.149994,6689600,185.149994
"NFLX",2017-09-13,184.070007,184.5,182.550003,183.639999,4320300,183.639999
"NFLX",2017-09-14,183.25,185.289993,182.070007,182.630005,4510700,182.630005
"NFLX",2017-09-15,182.729996,184.929993,181.429993,182.350006,5591700,182.350006
"NFLX",2017-09-18,183.610001,185.449997,182.729996,184.619995,5359600,184.619995
"NFLX",2017-09-19,184.979996,186.229996,184.169998,185.679993,4982100,185.679993
"NFLX",2017-09-20,186.100006,186.5,183.199997,185.509995,4625000,185.509995
"NFLX",2017-09-21,185.820007,189.949997,184.509995,188.779999,7148100,188.779999
"NFLX",2017-09-22,188.399994,189.850006,186.389999,187.350006,5464300,187.350006
"NFLX",2017-09-25,186.460007,186.550003,177.699997,178.550003,9367200,178.550003
"NFLX",2017-09-26,180.699997,180.949997,176.550003,179.380005,5602500,179.380005
"NFLX",2017-09-27,181.009995,183.339996,180.699997,181.970001,5710500,181.970001
"NFLX",2017-09-28,181.25,181.949997,179.360001,180.699997,4077000,180.699997
"NFLX",2017-09-29,180.729996,182.899994,180.649994,181.350006,4227900,181.350006
"NFLX",2017-10-02,182.110001,182.800003,176.580002,177.009995,7342000,177.009995
"NFLX",2017-10-03,177.649994,179.699997,177.550003,179.190002,3956900,179.190002
"NFLX",2017-10-04,181.410004,186.699997,181.25,184.449997,9235900,184.449997
"NFLX",2017-10-05,185.649994,194.490005,184.490005,194.389999,19412700,194.389999
"NFLX",2017-10-06,194.300003,198.919998,192.050003,198.020004,15348400,198.020004
"NFLX",2017-10-09,199.100006,199.399994,196.559998,196.869995,6971700,196.869995
"NFLX",2017-10-10,197.850006,198.300003,192.100006,195.080002,6233800,195.080002
"NFLX",2017-10-11,195.570007,196.220001,193.809998,194.949997,6450200,194.949997
"NFLX",2017-10-12,196.75,198.619995,194.710007,195.860001,7753300,195.860001
"NFLX",2017-10-13,199.699997,200.820007,197.190002,199.490005,12081300,199.490005
"NFLX",2017-10-16,201.949997,202.830002,197.860001,202.679993,22105400,202.679993
"NFLX",2017-10-17,200.110001,204.380005,197.770004,199.479996,23900100,199.479996
"NFLX",2017-10-18,199.990005,200.009995,194.25,195.539993,11198900,195.539993
"NFLX",2017-10-19,193.009995,195.25,191.160004,195.130005,7034600,195.130005
"NFLX",2017-10-20,195.899994,196.380005,193.770004,194.160004,5995600,194.160004
"NFLX",2017-10-23,194.169998,194.899994,191.029999,192.470001,6980000,192.470001
"NFLX",2017-10-24,192.75,196.740005,191.399994,196.020004,7069100,196.020004
"NFLX",2017-10-25,195.380005,197.059998,193.009995,193.770004,5315300,193.770004
"NFLX",2017-10-26,194.660004,197.610001,194.080002,195.210007,5185800,195.210007
"NFLX",2017-10-27,197.199997,200.649994,196.220001,199.539993,8128600,199.539993
"NFLX",2017-10-30,199.619995,201.100006,197.070007,198.369995,5439600,198.369995
"NFLX",2017-10-31,198.210007,198.589996,195.220001,196.429993,5518600,196.429993
"NFLX",2017-11-01,197.240005,199.199997,196,198,5017400,198
"NFLX",2017-11-02,197.449997,199.440002,197.089996,199.320007,3606300,199.320007
"NFLX",2017-11-03,199.800003,200.550003,197.990005,200.009995,3678800,200.009995
"NFLX",2017-11-06,200,202.479996,198.089996,200.130005,5846600,200.130005
"NFLX",2017-11-07,200,200.610001,194.800003,195.889999,6468000,195.889999
"NFLX",2017-11-08,196,197.089996,194.740005,196.440002,4237400,196.440002
"NFLX",2017-11-09,194.460007,194.490005,190.809998,193.899994,5979900,193.899994
"NFLX",2017-11-10,191.610001,192.589996,189.5,192.020004,6622200,192.020004
"NFLX",2017-11-13,191.119995,196.050003,191,195.080002,4607000,195.080002
"NFLX",2017-11-14,193.639999,195.880005,193,195.710007,3450500,195.710007
"NFLX",2017-11-15,194.539993,195.419998,191.529999,192.119995,4203100,192.119995
"NFLX",2017-11-16,194.330002,197.699997,193.75,195.509995,5678400,195.509995
"NFLX",2017-11-17,195.740005,195.949997,192.649994,193.199997,3906300,193.199997
"NFLX",2017-11-20,193.300003,194.320007,191.899994,194.100006,3827500,194.100006
"NFLX",2017-11-21,195.039993,197.520004,194.970001,196.229996,4787300,196.229996
"NFLX",2017-11-22,196.580002,196.75,193.630005,196.320007,5895400,196.320007
"NFLX",2017-11-24,196.649994,196.899994,195.330002,195.75,2160500,195.75
"NFLX",2017-11-27,195.559998,195.850006,194,195.050003,3210100,195.050003
"NFLX",2017-11-28,195.339996,199.679993,194.009995,199.179993,6981100,199.179993
"NFLX",2017-11-29,198.910004,199.029999,184.320007,188.149994,14202700,188.149994
"NFLX",2017-11-30,190.309998,190.860001,186.679993,187.580002,6630100,187.580002
"NFLX",2017-12-01,186.990005,189.800003,185,186.820007,6219500,186.820007
"NFLX",2017-12-04,189.360001,189.720001,178.380005,184.039993,9069800,184.039993
"NFLX",2017-12-05,183.5,188.139999,181.190002,184.210007,5783700,184.210007
"NFLX",2017-12-06,183.380005,186.479996,182.880005,185.300003,5490100,185.300003
"NFLX",2017-12-07,185.710007,187.339996,183.220001,185.199997,4659500,185.199997
"NFLX",2017-12-08,186.5,189.419998,186.300003,188.539993,4987300,188.539993
"NFLX",2017-12-11,187.850006,189.419998,185.910004,186.220001,5298600,186.220001
"NFLX",2017-12-12,186.009995,187.850006,184.820007,185.729996,4265900,185.729996
"NFLX",2017-12-13,186.100006,188.690002,185.410004,187.860001,4710000,187.860001
"NFLX",2017-12-14,187.979996,192.639999,187.199997,189.559998,7792800,189.559998
"NFLX",2017-12-15,189.610001,191.429993,188.009995,190.119995,7285600,190.119995
"NFLX",2017-12-18,191.199997,191.649994,188.899994,190.419998,5011000,190.419998
"NFLX",2017-12-19,190.179993,190.300003,185.75,187.020004,7033000,187.020004
"NFLX",2017-12-20,187.940002,189.110001,185.259995,188.820007,6545400,188.820007
"NFLX",2017-12-21,189.440002,190.949997,187.580002,188.619995,4729800,188.619995
"NFLX",2017-12-22,188.330002,190.949997,186.800003,189.940002,3878900,189.940002
"NFLX",2017-12-26,189.779999,189.940002,186.399994,187.759995,3045700,187.759995
"NFLX",2017-12-27,187.800003,188.100006,185.220001,186.240005,4002100,186.240005
"NFLX",2017-12-28,187.179993,194.490005,186.850006,192.710007,10107400,192.710007
"NFLX",2017-12-29,192.509995,193.949997,191.220001,191.960007,5187600,191.960007
"NFLX",2018-01-02,196.100006,201.649994,195.419998,201.070007,10966900,201.070007
"NFLX",2018-01-03,202.050003,206.210007,201.5,205.050003,8591400,205.050003
"NFLX",2018-01-04,206.199997,207.050003,204,205.630005,6029600,205.630005
"NFLX",2018-01-05,207.25,210.020004,205.589996,209.990005,7033200,209.990005
"NFLX",2018-01-08,210.020004,212.5,208.440002,212.050003,5580200,212.050003
"NFLX",2018-01-09,212.110001,212.979996,208.589996,209.309998,6125900,209.309998
"NFLX",2018-01-10,207.570007,213.639999,206.910004,212.520004,5951500,212.520004
"NFLX",2018-01-11,214.289993,217.75,213.350006,217.240005,7659500,217.240005
"NFLX",2018-01-12,217.179993,222.550003,216,221.229996,8199400,221.229996
"NFLX",2018-01-16,224.240005,226.070007,217.199997,221.529999,13516100,221.529999
"NFLX",2018-01-17,221,221.149994,216.320007,217.5,9123100,217.5
"NFLX",2018-01-18,220.339996,220.580002,216.550003,220.330002,8225300,220.330002
"NFLX",2018-01-19,222.75,223.490005,218.5,220.460007,10548600,220.460007
"NFLX",2018-01-22,222,227.789993,221.199997,227.580002,17703300,227.580002
"NFLX",2018-01-23,255.050003,257.709991,248.020004,250.289993,27705300,250.289993
"NFLX",2018-01-24,250.880005,261.709991,249.309998,261.299988,17352400,261.299988
"NFLX",2018-01-25,263,272.299988,260.230011,269.700012,15336400,269.700012
"NFLX",2018-01-26,271.48999,274.600006,268.76001,274.600006,11021800,274.600006
"NFLX",2018-01-29,274.200012,286.809998,273.920013,284.589996,17529700,284.589996
"NFLX",2018-01-30,277,282.730011,272.700012,278.799988,12482900,278.799988
"NFLX",2018-01-31,281.940002,282.290009,269.579987,270.299988,11695100,270.299988
"NFLX",2018-02-01,266.410004,271.950012,263.380005,265.070007,9669000,265.070007
"NFLX",2018-02-02,263,270.619995,262.709991,267.429993,9123600,267.429993
"NFLX",2018-02-05,262,267.899994,250.029999,254.259995,11896100,254.259995
"NFLX",2018-02-06,247.699997,266.700012,245,265.720001,12595800,265.720001
"NFLX",2018-02-07,266.579987,272.450012,264.329987,264.559998,8981500,264.559998
"NFLX",2018-02-08,267.079987,267.619995,250,250.100006,9306700,250.100006
"NFLX",2018-02-09,253.850006,255.800003,236.110001,249.470001,16906900,249.470001
"NFLX",2018-02-12,252.139999,259.149994,249,257.950012,8534900,257.950012
"NFLX",2018-02-13,257.290009,261.410004,254.699997,258.269989,6855200,258.269989
"NFLX",2018-02-14,260.470001,269.880005,260.329987,266,10972000,266
"NFLX",2018-02-15,270.029999,280.5,267.630005,280.269989,10759700,280.269989
"NFLX",2018-02-16,278.730011,281.959991,275.690002,278.519989,8312400,278.519989
"NFLX",2018-02-20,277.73999,285.809998,276.609985,278.549988,7769000,278.549988
"NFLX",2018-02-21,282.070007,286.640015,280.01001,281.040009,9371100,281.040009
"NFLX",2018-02-22,283.880005,284.5,274.450012,278.140015,8891500,278.140015
"NFLX",2018-02-23,281,286,277.809998,285.929993,7301800,285.929993
"NFLX",2018-02-26,288.75,295.649994,287.01001,294.160004,10268600,294.160004
"NFLX",2018-02-27,294.769989,297.359985,290.589996,290.609985,9416500,290.609985
"NFLX",2018-02-28,293.100006,295.75,290.779999,291.380005,7653500,291.380005
"NFLX",2018-03-01,292.75,295.25,283.829987,290.390015,11932100,290.390015
"NFLX",2018-03-02,284.649994,301.179993,283.230011,301.049988,13345300,301.049988
"NFLX",2018-03-05,302.850006,316.910004,297.600006,315,18986100,315
"NFLX",2018-03-06,319.880005,325.790009,316.5,325.220001,18525800,325.220001
"NFLX",2018-03-07,320,323.73999,314.549988,321.160004,17132200,321.160004
"NFLX",2018-03-08,322.200012,322.920013,314.130005,317,11340100,317
"NFLX",2018-03-09,321.329987,331.440002,320.230011,331.440002,14500200,331.440002
"NFLX",2018-03-12,333.559998,333.980011,318.600006,321.299988,20369200,321.299988
"NFLX",2018-03-13,323.869995,325.839996,313.279999,315.880005,12917200,315.880005
"NFLX",2018-03-14,318.160004,323.880005,317.700012,321.549988,10475100,321.549988
"NFLX",2018-03-15,323.170013,323.399994,318.140015,321.089996,5642900,321.089996
"NFLX",2018-03-16,321.420013,324.109985,318.369995,318.450012,7333700,318.450012
"NFLX",2018-03-19,315.799988,317,307.339996,313.480011,9925200,313.480011
"NFLX",2018-03-20,313.26001,319.5,312.799988,317.5,5991900,317.5
"NFLX",2018-03-21,316.350006,319.399994,314.51001,316.480011,5263900,316.480011
"NFLX",2018-03-22,313.070007,314.119995,305.660004,306.700012,8063300,306.700012
"NFLX",2018-03-23,307.410004,309.369995,300.359985,300.940002,9529900,300.940002
"NFLX",2018-03-26,309.359985,321.029999,302,320.350006,11988300,320.350006
"NFLX",2018-03-27,322.48999,322.899994,297,300.690002,12068600,300.690002
"NFLX",2018-03-28,298.390015,298.799988,281.609985,285.769989,18972900,285.769989
"NFLX",2018-03-29,287,295.350006,275.899994,295.350006,19145500,295.350006
"NFLX",2018-04-02,291.940002,292.869995,275.049988,280.290009,13405800,280.290009
"NFLX",2018-04-03,285.450012,291.25,278.01001,283.670013,12694900,283.670013
"NFLX",2018-04-04,273.630005,290.309998,271.220001,288.940002,12914000,288.940002
"NFLX",2018-04-05,293.149994,299.160004,289.109985,293.970001,10655200,293.970001
"NFLX",2018-04-06,289.100006,298.850006,285.649994,288.850006,11444800,288.850006
"NFLX",2018-04-09,291.769989,299.549988,289.119995,289.929993,9853600,289.929993
"NFLX",2018-04-10,297.679993,298.950012,291.690002,298.070007,10660500,298.070007
"NFLX",2018-04-11,302.880005,311.640015,301.820007,303.670013,14877400,303.670013
"NFLX",2018-04-12,309.720001,311.130005,306.75,309.25,10249400,309.25
"NFLX",2018-04-13,317.290009,317.48999,308.230011,311.649994,12046600,311.649994
"NFLX",2018-04-16,315.98999,316.100006,304,307.779999,20307900,307.779999
"NFLX",2018-04-17,329.660004,338.619995,323.769989,336.059998,33866500,336.059998
"NFLX",2018-04-18,336.299988,338.820007,331.100006,334.519989,11221100,334.519989
"NFLX",2018-04-19,332.880005,335.309998,326.769989,332.700012,8438800,332.700012
"NFLX",2018-04-20,332.220001,336.51001,326,327.769989,9158700,327.769989
"NFLX",2018-04-23,329.149994,331.220001,317.079987,318.690002,8968000,318.690002
"NFLX",2018-04-24,319.220001,320.25,302.309998,307.019989,13893200,307.019989
"NFLX",2018-04-25,306.369995,309.980011,292.619995,305.76001,14919700,305.76001
"NFLX",2018-04-26,310,316.630005,305.579987,313.980011,9266700,313.980011
"NFLX",2018-04-27,316.25,317.450012,306.5,311.76001,7074400,311.76001
"NFLX",2018-04-30,311.070007,317.880005,310.119995,312.459991,6088800,312.459991
"NFLX",2018-05-01,310.359985,313.480011,306.690002,313.299988,6036600,313.299988
"NFLX",2018-05-02,311.649994,317.100006,310.399994,313.359985,5697100,313.359985
"NFLX",2018-05-03,312.589996,312.589996,305.730011,311.690002,6135800,311.690002
"NFLX",2018-05-04,308.709991,320.980011,307.670013,320.089996,8209500,320.089996
"NFLX",2018-05-07,321.98999,329.019989,319.339996,326.26001,7117800,326.26001
"NFLX",2018-05-08,325.899994,327.350006,323.049988,326.890015,4735700,326.890015
